Step	Temp	TotEng	Xlo	Xhi	Ylo	Yhi	Zlo	Zhi	Volume
100000	50.370035	-36356.555	-1.3190207	214.91902	-0.76153682	124.08354	-0.5	0.5	26996.254
125000	55.902579	-36349.94	-1.3294159	214.92942	-0.76753849	124.08954	-0.5	0.5	27001.446
150000	60.420382	-36344.683	-1.3266551	214.92666	-0.76594455	124.08794	-0.5	0.5	27000.067
175000	64.711193	-36339.045	-1.3332426	214.93324	-0.76974786	124.09175	-0.5	0.5	27003.357
200000	69.909871	-36334.18	-1.335012	214.93501	-0.77076944	124.09277	-0.5	0.5	27004.241
225000	74.210698	-36328.311	-1.3365145	214.93651	-0.77163689	124.09364	-0.5	0.5	27004.991
250000	78.52724	-36323.53	-1.3435505	214.94355	-0.77569915	124.0977	-0.5	0.5	27008.505
275000	85.593686	-36316.616	-1.3402792	214.94028	-0.77381046	124.09581	-0.5	0.5	27006.871
300000	90.52155	-36311.171	-1.3509305	214.95093	-0.77995997	124.10196	-0.5	0.5	27012.192
325000	93.684519	-36307.232	-1.3458795	214.94588	-0.77704377	124.09904	-0.5	0.5	27009.669
350000	100.38105	-36301.488	-1.3561938	214.95619	-0.78299873	124.105	-0.5	0.5	27014.821
375000	104.00578	-36295.99	-1.3535418	214.95354	-0.78146759	124.10347	-0.5	0.5	27013.496
400000	112.0838	-36287.706	-1.3596725	214.95967	-0.78500714	124.10701	-0.5	0.5	27016.559
425000	112.16692	-36282.967	-1.3625403	214.96254	-0.78666289	124.10866	-0.5	0.5	27017.991
450000	116.11047	-36280.843	-1.3630351	214.96304	-0.78694856	124.10895	-0.5	0.5	27018.239
475000	124.65762	-36272.535	-1.3708753	214.97088	-0.79147512	124.11348	-0.5	0.5	27022.156
500000	128.84591	-36266.874	-1.3668834	214.96688	-0.7891704	124.11117	-0.5	0.5	27020.161
525000	136.88568	-36259.592	-1.3783977	214.9784	-0.79581817	124.11782	-0.5	0.5	27025.914
550000	140.07976	-36254.407	-1.3722382	214.97224	-0.79226197	124.11426	-0.5	0.5	27022.837
575000	143.7287	-36251.746	-1.384134	214.98413	-0.79913003	124.12113	-0.5	0.5	27028.78
600000	152.57853	-36244.209	-1.3797151	214.97972	-0.79657878	124.11858	-0.5	0.5	27026.572
625000	155.93873	-36238.966	-1.3873522	214.98735	-0.80098803	124.12299	-0.5	0.5	27030.388
650000	163.96174	-36230.467	-1.3895843	214.98958	-0.80227677	124.12428	-0.5	0.5	27031.504
675000	160.103	-36232.303	-1.3891636	214.98916	-0.80203386	124.12403	-0.5	0.5	27031.294
700000	171.09999	-36222.278	-1.3992	214.9992	-0.80782837	124.12983	-0.5	0.5	27036.309
725000	182.23186	-36214.62	-1.3923772	214.99238	-0.80388922	124.12589	-0.5	0.5	27032.899
750000	179.76221	-36210.785	-1.4071472	215.00715	-0.81241669	124.13442	-0.5	0.5	27040.281
775000	184.75028	-36203.523	-1.3975898	214.99759	-0.80689874	124.1289	-0.5	0.5	27035.504
800000	193.78119	-36198.297	-1.4119319	215.01193	-0.81517914	124.13718	-0.5	0.5	27042.672
825000	191.12647	-36196.163	-1.4067388	215.00674	-0.81218089	124.13418	-0.5	0.5	27040.077
850000	201.78948	-36186.889	-1.4141093	215.01411	-0.81643629	124.13844	-0.5	0.5	27043.76
875000	201.9077	-36184.483	-1.4168795	215.01688	-0.81803562	124.14004	-0.5	0.5	27045.145
900000	214.18122	-36174.184	-1.4153048	215.0153	-0.81712651	124.13913	-0.5	0.5	27044.358
925000	213.66346	-36173.438	-1.428413	215.02841	-0.82469449	124.14669	-0.5	0.5	27050.91
950000	217.57785	-36167.473	-1.4166628	215.01666	-0.81791051	124.13991	-0.5	0.5	27045.037
975000	223.65685	-36160.961	-1.4373265	215.03733	-0.82984074	124.15184	-0.5	0.5	27055.366
1000000	234.4631	-36154.253	-1.4223325	215.02233	-0.82118395	124.14318	-0.5	0.5	27047.871
1025000	234.20995	-36150.652	-1.4426922	215.04269	-0.8329386	124.15494	-0.5	0.5	27058.049
1050000	240.29034	-36144.499	-1.4307902	215.03079	-0.82606699	124.14807	-0.5	0.5	27052.099
1075000	249.35919	-36137.017	-1.4444444	215.04444	-0.83395023	124.15595	-0.5	0.5	27058.925
1100000	248.36222	-36138.705	-1.4436173	215.04362	-0.83347272	124.15547	-0.5	0.5	27058.511
1125000	256.7611	-36125.521	-1.4421222	215.04212	-0.83260954	124.15461	-0.5	0.5	27057.764
1150000	259.25364	-36121.259	-1.4583515	215.05835	-0.8419795	124.16398	-0.5	0.5	27065.878
1175000	265.02362	-36116.22	-1.4407657	215.04077	-0.83182637	124.15383	-0.5	0.5	27057.086
1200000	275.22068	-36108.025	-1.4702142	215.07021	-0.84882845	124.17083	-0.5	0.5	27071.81
1225000	276.91807	-36104.544	-1.4445401	215.04454	-0.83400552	124.15601	-0.5	0.5	27058.973
1250000	280.4599	-36099.013	-1.4758532	215.07585	-0.85208413	124.17408	-0.5	0.5	27074.63
1275000	284.31525	-36097.117	-1.4557641	215.05576	-0.84048569	124.16249	-0.5	0.5	27064.584
1300000	292.24203	-36084.987	-1.4738338	215.07383	-0.85091821	124.17292	-0.5	0.5	27073.62
1325000	297.31606	-36083.83	-1.4726142	215.07261	-0.85021411	124.17221	-0.5	0.5	27073.01
1350000	297.24665	-36076.73	-1.468732	215.06873	-0.84797272	124.16997	-0.5	0.5	27071.069
1375000	307.83972	-36070.341	-1.490358	215.09036	-0.86045847	124.18246	-0.5	0.5	27081.884
1400000	308.10371	-36067.778	-1.4658957	215.0659	-0.84633516	124.16834	-0.5	0.5	27069.651
1425000	312.13979	-36065.632	-1.50306	215.10306	-0.867792	124.18979	-0.5	0.5	27088.238
1450000	320.73756	-36056.837	-1.4690936	215.06909	-0.84818147	124.17018	-0.5	0.5	27071.25
1475000	330.41258	-36044.599	-1.5078404	215.10784	-0.87055194	124.19255	-0.5	0.5	27090.629
1500000	326.31512	-36046.449	-1.4833552	215.08336	-0.85641539	124.17842	-0.5	0.5	27078.382
1525000	336.74424	-36040.282	-1.5027208	215.10272	-0.86759611	124.1896	-0.5	0.5	27088.068
1550000	341.07678	-36033.609	-1.5040047	215.104	-0.8683374	124.19034	-0.5	0.5	27088.711
1575000	341.68299	-36034.279	-1.4949399	215.09494	-0.86310381	124.1851	-0.5	0.5	27084.176
1600000	350.62644	-36021.327	-1.5238334	215.12383	-0.8797855	124.20179	-0.5	0.5	27098.631
1625000	347.62376	-36023.771	-1.4901648	215.09016	-0.86034691	124.18235	-0.5	0.5	27081.788
1650000	360.80834	-36010.199	-1.5380046	215.138	-0.88796723	124.20997	-0.5	0.5	27105.721
1675000	363.01879	-36009.023	-1.4947739	215.09477	-0.86300799	124.18501	-0.5	0.5	27084.093
1700000	369.60952	-35999.016	-1.5412381	215.14124	-0.88983411	124.21183	-0.5	0.5	27107.339
1725000	374.79596	-35994.955	-1.5109227	215.11092	-0.87233152	124.19433	-0.5	0.5	27092.171
1750000	373.62035	-35991.316	-1.5356744	215.13567	-0.88662191	124.20862	-0.5	0.5	27104.555
1775000	390.99328	-35977.142	-1.5332295	215.13323	-0.88521032	124.20721	-0.5	0.5	27103.332
1800000	388.85268	-35977.158	-1.5252558	215.12526	-0.88060674	124.20261	-0.5	0.5	27099.342
1825000	400.25604	-35972.523	-1.5585186	215.15852	-0.89981098	124.22181	-0.5	0.5	27115.987
1850000	404.56386	-35963.999	-1.5168228	215.11682	-0.87573792	124.19774	-0.5	0.5	27095.123
1875000	401.88173	-35960.24	-1.5761469	215.17615	-0.90998873	124.23199	-0.5	0.5	27124.811
1900000	410.22411	-35953.594	-1.5195417	215.11954	-0.87730768	124.19931	-0.5	0.5	27096.483
1925000	413.93829	-35943.343	-1.5813017	215.1813	-0.91296486	124.23496	-0.5	0.5	27127.391
1950000	414.19523	-35943.51	-1.5342248	215.13422	-0.88578496	124.20778	-0.5	0.5	27103.83
1975000	420.88948	-35940.096	-1.5744507	215.17445	-0.90900939	124.23101	-0.5	0.5	27123.962
2000000	431.09036	-35932.236	-1.5606176	215.16062	-0.90102285	124.22302	-0.5	0.5	27117.038
2025000	441.43694	-35925.831	-1.5600767	215.16008	-0.90071056	124.22271	-0.5	0.5	27116.767
2050000	438.39334	-35919.056	-1.5911203	215.19112	-0.91863363	124.24063	-0.5	0.5	27132.306
2075000	443.47302	-35918.883	-1.5463293	215.14633	-0.89277351	124.21477	-0.5	0.5	27109.887
2100000	453.48931	-35906.658	-1.6143822	215.21438	-0.93206389	124.25406	-0.5	0.5	27143.953
2125000	460.94401	-35902.784	-1.5450955	215.1451	-0.8920612	124.21406	-0.5	0.5	27109.27
2150000	457.4555	-35898.861	-1.6216299	215.22163	-0.93624835	124.25825	-0.5	0.5	27147.583
2175000	463.25968	-35893.582	-1.5611825	215.16118	-0.90134903	124.22335	-0.5	0.5	27117.32
2200000	472.49949	-35887.213	-1.6132513	215.21325	-0.93141091	124.25341	-0.5	0.5	27143.387
2225000	471.12923	-35880.617	-1.5894316	215.18943	-0.91765866	124.23966	-0.5	0.5	27131.461
2250000	473.65037	-35872.899	-1.5954218	215.19542	-0.92111708	124.24312	-0.5	0.5	27134.46
2275000	477.00384	-35875.253	-1.6259862	215.22599	-0.93876346	124.26076	-0.5	0.5	27149.764
2300000	475.04692	-35879.741	-1.578037	215.17804	-0.91107994	124.23308	-0.5	0.5	27125.757
2325000	490.10235	-35864.454	-1.6544331	215.25443	-0.95518727	124.27719	-0.5	0.5	27164.012
2350000	500.57286	-35854.938	-1.5707582	215.17076	-0.90687756	124.22888	-0.5	0.5	27122.113
2375000	504.71513	-35845.186	-1.6659293	215.26593	-0.96182459	124.28382	-0.5	0.5	27169.771
2400000	503.2706	-35847.947	-1.5858648	215.18586	-0.91559933	124.2376	-0.5	0.5	27129.675
2425000	514.07814	-35844.355	-1.6581075	215.25811	-0.95730866	124.27931	-0.5	0.5	27165.853
2450000	519.84954	-35837.989	-1.6168741	215.21687	-0.93350254	124.2555	-0.5	0.5	27145.201
2475000	537.56561	-35820.874	-1.6365135	215.23651	-0.94484137	124.26684	-0.5	0.5	27155.037
2500000	530.60679	-35823.492	-1.654472	215.25447	-0.95520971	124.27721	-0.5	0.5	27164.032
2525000	534.5707	-35819.17	-1.6165221	215.21652	-0.93329933	124.2553	-0.5	0.5	27145.025
2550000	537.96579	-35810.999	-1.6889242	215.28892	-0.97510071	124.2971	-0.5	0.5	27181.293
2575000	541.92151	-35809.913	-1.6044924	215.20449	-0.92635397	124.24835	-0.5	0.5	27139.001
2600000	543.33134	-35800.994	-1.708525	215.30852	-0.98641721	124.30842	-0.5	0.5	27191.115
2625000	559.75653	-35795.021	-1.6099891	215.20999	-0.9295275	124.25153	-0.5	0.5	27141.754
2650000	564.40283	-35790.993	-1.7093609	215.30936	-0.98689983	124.3089	-0.5	0.5	27191.534
2675000	566.17571	-35782.248	-1.6361836	215.23618	-0.94465089	124.26665	-0.5	0.5	27154.871
2700000	566.92911	-35783.366	-1.690778	215.29078	-0.97617097	124.29817	-0.5	0.5	27182.222
2725000	573.26433	-35778.331	-1.6771084	215.27711	-0.96827885	124.29028	-0.5	0.5	27175.372
2750000	572.04106	-35772.389	-1.6630789	215.26308	-0.9601789	124.28218	-0.5	0.5	27168.343
2775000	598.54026	-35751.146	-1.7219779	215.32198	-0.99418425	124.31618	-0.5	0.5	27197.858
2800000	597.04746	-35746.215	-1.6415661	215.24157	-0.94775851	124.26976	-0.5	0.5	27157.567
2825000	605.30109	-35741.285	-1.750488	215.35049	-1.0106446	124.33264	-0.5	0.5	27212.15
2850000	591.35663	-35749.329	-1.6371575	215.23716	-0.9452132	124.26721	-0.5	0.5	27155.359
2875000	595.01425	-35738.227	-1.7609745	215.36097	-1.016699	124.3387	-0.5	0.5	27217.408
2900000	616.12588	-35729.888	-1.6558024	215.2558	-0.95597783	124.27798	-0.5	0.5	27164.698
2925000	615.60013	-35726.408	-1.7509629	215.35096	-1.0109188	124.33292	-0.5	0.5	27212.389
2950000	612.0574	-35725.772	-1.6908782	215.29088	-0.97622887	124.29823	-0.5	0.5	27182.272
2975000	615.55476	-35721.347	-1.7268659	215.32687	-0.99700632	124.31901	-0.5	0.5	27200.308
3000000	630.49122	-35713.904	-1.7334884	215.33349	-1.0008299	124.32283	-0.5	0.5	27203.628
3025000	635.27298	-35711.624	-1.703974	215.30397	-0.98378969	124.30579	-0.5	0.5	27188.835
3050000	629.50982	-35701.844	-1.7652534	215.36525	-1.0191694	124.34117	-0.5	0.5	27219.554
3075000	649.09024	-35690.696	-1.6937233	215.29372	-0.97787145	124.29987	-0.5	0.5	27183.698
3100000	645.94946	-35690.642	-1.786918	215.38692	-1.0316774	124.35368	-0.5	0.5	27230.418
3125000	665.24123	-35674.536	-1.6994978	215.2995	-0.98120537	124.30321	-0.5	0.5	27186.591
3150000	660.19417	-35672.945	-1.7907192	215.39072	-1.0338721	124.35587	-0.5	0.5	27232.325
3175000	682.36935	-35661.782	-1.7168586	215.31686	-0.99122861	124.31323	-0.5	0.5	27195.292
3200000	663.86967	-35668.059	-1.7846886	215.38469	-1.0303903	124.35239	-0.5	0.5	27229.3
3225000	676.94192	-35666.583	-1.7479568	215.34796	-1.0091832	124.33118	-0.5	0.5	27210.881
3250000	667.14332	-35661.26	-1.7720798	215.37208	-1.0231106	124.34511	-0.5	0.5	27222.977
3275000	692.07799	-35650.017	-1.7744861	215.37449	-1.0244999	124.3465	-0.5	0.5	27224.184
3300000	700.02088	-35647.49	-1.7642722	215.36427	-1.0186029	124.3406	-0.5	0.5	27219.062
3325000	702.23208	-35629.869	-1.7995812	215.39958	-1.0389886	124.36099	-0.5	0.5	27236.77
3350000	705.32996	-35628.866	-1.7583159	215.35832	-1.015164	124.33716	-0.5	0.5	27216.075
3375000	717.52844	-35622.144	-1.81507	215.41507	-1.047931	124.36993	-0.5	0.5	27244.54
3400000	699.41386	-35626.524	-1.7637524	215.36375	-1.0183028	124.3403	-0.5	0.5	27218.801
3425000	711.37347	-35618.026	-1.824393	215.42439	-1.0533137	124.37531	-0.5	0.5	27249.217
3450000	725.146	-35610.808	-1.7793074	215.37931	-1.0272835	124.34928	-0.5	0.5	27226.602
3475000	736.448	-35601.885	-1.8240025	215.424	-1.0530882	124.37509	-0.5	0.5	27249.021
3500000	722.13798	-35597.907	-1.8013275	215.40133	-1.0399968	124.362	-0.5	0.5	27237.646
3525000	737.31868	-35585.523	-1.8173381	215.41734	-1.0492405	124.37124	-0.5	0.5	27245.678
3550000	747.13675	-35583.278	-1.8227718	215.42277	-1.0523776	124.37438	-0.5	0.5	27248.404
3575000	758.63653	-35574.092	-1.8166243	215.41662	-1.0488284	124.37083	-0.5	0.5	27245.319
3600000	770.99749	-35565.824	-1.8375295	215.43753	-1.060898	124.3829	-0.5	0.5	27255.808
3625000	765.47095	-35555.859	-1.8240493	215.42405	-1.0531152	124.37512	-0.5	0.5	27249.045
3650000	769.26392	-35568.987	-1.8518994	215.4519	-1.0691945	124.39119	-0.5	0.5	27263.019
3675000	766.65904	-35564.1	-1.8260857	215.42609	-1.0542909	124.37629	-0.5	0.5	27250.066
3700000	796.27929	-35538.139	-1.865497	215.4655	-1.0770451	124.39905	-0.5	0.5	27269.843
3725000	794.1405	-35546.235	-1.8351726	215.43517	-1.0595373	124.38154	-0.5	0.5	27254.626
3750000	778.42981	-35547.779	-1.8716801	215.47168	-1.0806148	124.40261	-0.5	0.5	27272.947
3775000	773.1022	-35554.4	-1.8497654	215.44977	-1.0679624	124.38996	-0.5	0.5	27261.948
3800000	806.15442	-35522.703	-1.8724463	215.47245	-1.0810572	124.40306	-0.5	0.5	27273.331
3825000	806.43229	-35513.98	-1.8696988	215.4697	-1.079471	124.40147	-0.5	0.5	27271.952
3850000	808.43914	-35523.517	-1.8706655	215.47067	-1.0800291	124.40203	-0.5	0.5	27272.438
3875000	806.83366	-35509.94	-1.8885618	215.48856	-1.0903615	124.41236	-0.5	0.5	27281.421
3900000	816.08829	-35514.971	-1.8669922	215.46699	-1.0779083	124.39991	-0.5	0.5	27270.594
3925000	825.10581	-35494.493	-1.9081444	215.50814	-1.1016675	124.42367	-0.5	0.5	27291.252
3950000	818.70366	-35498.876	-1.8701127	215.47011	-1.0797099	124.40171	-0.5	0.5	27272.16
3975000	830.02731	-35483.9	-1.9243653	215.52437	-1.1110327	124.43303	-0.5	0.5	27299.398
